id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
109,60,RL,0.0,13517,Pave,no,3,Lvl,4,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,0,6,533.0,1,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,0.0,0.0,2,1,3,1,4,6,8,0,0,Attchd,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,no,no,0,3,2010,WD ,130500
544,60,RL,43.0,11492,Pave,no,3,Lvl,4,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,0,6,637.0,1,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,1.0,0.0,2,1,4,1,4,8,8,1,3,Attchd,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,no,no,0,4,2009,WD ,220000
153,20,RL,68.0,7922,Pave,no,4,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,no,0.0,3,4,CBlock,3,3,0,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1.0,0.0,1,0,3,1,4,5,8,0,0,Detchd,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,no,no,0,1,2010,WD ,109000
318,60,RL,73.0,9802,Pave,no,4,Lvl,4,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,no,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,0.0,0.0,2,1,3,1,3,7,8,0,0,BuiltIn,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,no,no,0,4,2010,WD ,174000
255,50,RL,82.0,14235,Pave,no,3,Lvl,4,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd_Sdng,Plywood,no,0.0,3,3,PConc,2,4,0,1,0.0,1,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,0.0,0.0,2,0,3,1,3,6,8,0,0,Detchd,1,2.0,484.0,3,3,0,0,59,0,0,0,0,0,no,no,0,3,2010,WD ,138500
138,20,RL,137.0,16492,Pave,no,3,Lvl,4,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,no,0.0,4,3,CBlock,3,3,0,5,247.0,3,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,0.0,0.0,2,1,2,1,4,6,5,1,4,Attchd,3,2.0,578.0,3,3,2,0,0,0,0,0,0,0,no,no,0,6,2010,WD ,190000
2827,180,RM,35.0,3675,Pave,no,4,Lvl,4,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,2,6,547.0,1,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1.0,0.0,2,0,2,1,3,5,8,0,0,Basment,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,no,no,0,6,2006,New,140000
145,20,RL,0.0,12160,Pave,no,3,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,0,3,1000.0,1,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,MnPrv,no,0,5,2010,COD,142000
1942,20,RL,0.0,15783,Pave,no,4,Lvl,4,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd_Sdng,Wd_Sdng,no,0.0,3,3,CBlock,3,3,0,3,292.0,1,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,0.0,0.0,1,0,2,1,3,6,8,0,0,Detchd,1,1.0,420.0,3,3,2,0,324,0,0,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500
1956,60,RL,70.0,11606,Pave,no,3,HLS,4,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,0.0,1.0,1,2,5,1,2,9,8,2,3,Attchd,1,2.0,504.0,3,3,2,335,0,0,0,0,0,0,no,no,0,9,2007,WD ,135000
